"pass","year"
112,49.0833333333333
118,49.1666666666667
132,49.25
129,49.3333333333333
121,49.4166666666667
135,49.5
148,49.5833333333333
148,49.6666666666667
136,49.75
119,49.8333333333333
104,49.9166666666667
118,50
115,50.0833333333333
126,50.1666666666667
141,50.25
135,50.3333333333333
125,50.4166666666667
149,50.5
170,50.5833333333333
170,50.6666666666667
158,50.75
133,50.8333333333333
114,50.9166666666667
140,51
145,51.0833333333333
150,51.1666666666667
178,51.25
163,51.3333333333333
172,51.4166666666667
178,51.5
199,51.5833333333333
199,51.6666666666667
184,51.75
162,51.8333333333333
146,51.9166666666667
166,52
171,52.0833333333333
180,52.1666666666667
193,52.25
181,52.3333333333333
183,52.4166666666667
218,52.5
230,52.5833333333333
242,52.6666666666667
209,52.75
191,52.8333333333333
172,52.9166666666667
194,53
196,53.0833333333333
196,53.1666666666667
236,53.25
235,53.3333333333333
229,53.4166666666667
243,53.5
264,53.5833333333333
272,53.6666666666667
237,53.75
211,53.8333333333333
180,53.9166666666667
201,54
204,54.0833333333333
188,54.1666666666667
235,54.25
227,54.3333333333333
234,54.4166666666667
264,54.5
302,54.5833333333333
293,54.6666666666667
259,54.75
229,54.8333333333333
203,54.9166666666667
229,55
242,55.0833333333333
233,55.1666666666667
267,55.25
269,55.3333333333333
270,55.4166666666667
315,55.5
364,55.5833333333333
347,55.6666666666667
312,55.75
274,55.8333333333333
237,55.9166666666667
278,56
284,56.0833333333333
277,56.1666666666667
317,56.25
313,56.3333333333333
318,56.4166666666667
374,56.5
413,56.5833333333333
405,56.6666666666667
355,56.75
306,56.8333333333333
271,56.9166666666667
306,57
315,57.0833333333333
301,57.1666666666667
356,57.25
348,57.3333333333333
355,57.4166666666667
422,57.5
465,57.5833333333333
467,57.6666666666667
404,57.75
347,57.8333333333333
305,57.9166666666667
336,58
340,58.0833333333333
318,58.1666666666667
362,58.25
348,58.3333333333333
363,58.4166666666667
435,58.5
491,58.5833333333333
505,58.6666666666667
404,58.75
359,58.8333333333333
310,58.9166666666667
337,59
360,59.0833333333333
342,59.1666666666667
406,59.25
396,59.3333333333333
420,59.4166666666667
472,59.5
548,59.5833333333333
559,59.6666666666667
463,59.75
407,59.8333333333333
362,59.9166666666667
405,60
417,60.0833333333333
391,60.1666666666667
419,60.25
461,60.3333333333333
472,60.4166666666667
535,60.5
622,60.5833333333333
606,60.6666666666667
508,60.75
461,60.8333333333333
390,60.9166666666667
432,61
