"time","flux","error"
133,122.7,5.7
143,109.5,5.4
153,101.4,5.2
163,92,4.9
173,86.8,4.8
183,83.7,4.7
193,77.2,4.5
203,69.4,4.3
213,69.2,4.3
223,62.4,4.1
233,65,4.1
243,57.2,3.9
253,54.6,3.8
263,54.3,3.8
278,50.8,2.6
298,49.8,2.6
318,45.4,2.5
338,45.5,2.5
358,46.9,2.5
378,40.2,2.3
398,41.7,2.4
418,39.4,2.3
438,39.9,2.3
458,34.8,2.2
478,31.9,2.1
498,31.5,2.1
518,32.5,2.1
538,27.4,1.9
558,32.4,2.1
578,29.8,2
598,28.5,2
618,29.1,2
638,24.8,1.8
658,27.3,1.9
658,27.3,1.9
658,27.3,1.9
658,27.3,1.9
658,27.3,1.9
658,27.3,1.9
678,24.6,1.8
708,24.2,1.3
748,20.4,1.2
788,19.8,1.2
828,19,1.1
868,16.3,1.1
908,18.5,1.1
948,17.6,1.1
988,16.3,1.1
1028,15.5,1.4
6009,1.072,0.134
6309,1.331,0.153
6609,0.987,0.126
6909,1.01,0.152
11809,0.56,0.056
12509,0.482,0.052
18109,0.331,0.052
23859,0.173,0.039
27859,0.108,0.028
35859,0.079,0.021
81459,0.0361,0.0088
99102,0.0273,0.0078
165485,0.008,0.0016
412515,0.0013,6e-04
