"nitrogen","chlorine","potassium","burntime"
3.05,1.45,5.67,2.2
4.22,1.35,4.86,1.3
3.34,0.26,4.19,2.4
3.77,0.23,4.42,4.8
3.52,1.1,3.17,1.5
3.54,0.76,2.76,1
3.74,1.59,3.81,1.2
3.78,0.39,3.23,1.3
2.92,0.39,5.44,33.9
3.1,0.64,6.16,5.9
2.86,0.82,5.48,14.8
2.78,0.64,4.62,10.2
2.22,0.85,4.49,7.8
2.67,0.9,5.59,25.1
3.12,0.92,5.86,11.2
3.03,0.97,6.6,14.1
2.45,0.18,4.51,30.9
4.12,0.62,5.31,3.2
4.61,0.51,5.16,1.5
3.94,0.45,4.45,2.2
4.12,1.79,6.17,2.3
2.93,0.25,3.38,7.8
2.66,0.31,3.51,8.1
3.17,0.2,3.08,8.3
2.79,0.24,3.98,22.4
2.61,0.2,3.64,21.4
3.74,2.27,6.5,1.7
3.13,1.48,4.28,1.8
3.49,0.25,4.71,5.4
2.94,2.22,4.58,1.7
