"arc","sinang","cosang","group"
13.1666666666667,0.8836,-0.4682,1
13.1333333333333,0.9996,-0.0282,1
13.2,0.9899,0.1421,1
14.25,0.2221,0.975,3
14.7,0.0006,1,3
13.0166666666667,0.9308,-0.3654,1
14.5166666666667,0.0602,0.9982,3
14.95,-0.157,0.9876,2
13.0833333333333,0.9097,-0.4152,1
13.0333333333333,1,0.0055,1
13.2,0.9689,0.2476,1
13.1833333333333,0.8878,0.4602,1
13.5666666666667,0.7549,0.6558,3
13.8833333333333,0.5755,0.8178,3
13.9666666666667,0.3608,0.9326,3
14.2333333333333,0.3102,0.9915,3
14.9333333333333,-0.1068,0.9943,3
14.7833333333333,-0.3363,0.9418,2
15.9333333333333,-0.856,0.517,2
13.4833333333333,0.8002,0.5997,3
15.9166666666667,-0.9952,-0.0982,2
15.65,-0.8409,0.5412,2
16.15,-0.9429,0.333,2
16.3666666666667,-0.9768,0.2141,2
15.6333333333333,-0.6262,-0.7797,2
14.9,-0.4091,-0.9125,2
13.1166666666667,0.9284,-0.3716,1
