Intensity,Molarity,Solute,pH,Gas,Water,Horn,Flask
80.6,down,down,down,down,down,down,down
66.1,up,down,down,down,down,up,up
59.1,down,up,down,down,up,down,up
68.9,up,up,down,down,up,up,down
75.1,down,down,up,down,up,up,up
373.8,up,down,up,down,up,down,down
66.8,down,up,up,down,down,up,down
79.6,up,up,up,down,down,down,up
114.3,down,down,down,up,up,up,down
84.1,up,down,down,up,up,down,up
68.4,down,up,down,up,down,up,up
88.1,up,up,down,up,down,down,down
78.1,down,down,up,up,down,down,up
327.2,up,down,up,up,down,up,down
77.6,down,up,up,up,up,down,down
61.9,up,up,up,up,up,up,up
